id;quotation_id;product_id;product_attr_id;attribute_name;attribute_value
1;19258;79055;25411;deposit modular;reciprocal Human
2;30500;70316;61989;Tasty markets impactful;Ergonomic enhance
3;60166;60953;24862;Future back Cambridgeshire;reboot interface Chief
4;33319;35528;18688;Officer;Director Group
5;93220;53344;96604;Salad Ford Market;Frozen
6;23135;53572;79439;copying UIC-Franc Shores;productivity program
7;38954;97292;54629;Soft turquoise;deposit Soft
8;84144;43905;85130;Rico transmitter;deposit
9;45457;41723;84660;open-source Som Keyboard;Texas
10;99;55825;2234;Profound Ecuador violet;Dinar Fish COM
