id;product_id;quotation_id;item_name;item_desc;sum_insured;currency
1;9390;80697;Cambridgeshire;Sleek;46148;Soap
2;35312;85646;Global;core;28304;contingency Research Fundamental
3;34408;85116;Accountability transmitting;Plastic;19716;sky Moroccan
4;71934;76854;Somali Intelligent;executive;75493;complexity
5;59650;43676;green orange;Louisiana Michigan;28876;Tuna Valleys
6;52569;65962;Illinois Gorgeous Tuna;communities workforce;5223;Ameliorated innovate
7;49890;91877;synthesize;conglomeration Toys;32116;Forks navigate interfaces
8;44206;45729;program Concrete synergy;Customer-focused Soap;80158;redundant capacitor
9;3299;22152;Ball;Missouri Cliffs;25671;Incredible Idaho e-tailers
10;92325;22805;Bacon quantifying Cotton;Connecticut calculate;57088;GB Legacy
