id;section_name;sum_insured;currency;quotation_id
1;Berkshire paradigm Ngultrum;36719;Colorado Delaware digital;30014
2;transmitter Producer;20141;Dynamic vertical Fantastic;77918
3;calculate Berkshire;33157;cross-platform emulation Quality;93298
4;Fundamental application morph;92500;success Engineer lime;22458
5;multi-byte deposit;87068;Handcrafted;83741
6;Peso;2131;Wyoming hack Strategist;17334
7;lavender Dobra withdrawal;50680;Account Organic;73858
8;Usability PCI Associate;61442;Cheese Arabia Handmade;86955
9;Concrete;94691;Palladium Spain;96534
10;executive;8761;payment China responsive;1641
