id;quotation_id;distribution_type;value;currency;percentage;rate;premiums;commission_percentage;tax_percentage;net_premiums
1;28364;Retension;88674;parsing;70689;86973;66396;86775;36612;41119
2;43316;AutoFac;57200;Plastic;73510;8234;58756;43168;13013;5368
3;2584;QuotaShared;30792;revolutionary;86615;66584;90289;46077;32594;65043
4;8584;AutoFac;55587;intermediate;68759;56313;17899;88915;51367;68710
5;89860;Fac;2224;Ball 4th;72985;82952;64799;81657;65040;90635
6;81944;Retension;99104;1080p Metal;95438;3439;87957;55862;50970;93888
7;21329;QuotaShared;26016;Trinidad Facilitator;18777;258;7865;9469;81062;57904
8;79595;Surplus;24909;Triple-buffered programming;5458;64408;60931;89737;11120;49793
9;3712;QuotaShared;31749;Licensed Kwanza;65223;34055;24193;38370;85511;95713
10;31658;Retension;82769;Progressive monitor calculating;79211;56519;21983;68065;73135;97749
