id;quotation_id;extension_id;limit;percentage;mpl_value;extension_ar;extension_en;exntension_percentage_type;modified;modified_by
1;93240;69481;21851;57263;42025;cutting-edge;maroon parse Accountability;Section;false;Stream Eritrea Swedish
2;90422;58644;46023;83569;99186;hybrid Representative Berkshire;Metal grey;Item;false;Refined
3;24731;13420;97159;81577;42242;withdrawal backing;SQL deposit;Section;true;Mouse quantify
4;70738;16218;31892;6531;76121;Money Tuna;parsing Handmade multi-tasking;Item;false;Island
5;52498;94563;85777;1572;64909;Movies monitor;Real;Section;false;Awesome Account
6;54105;48320;49260;25829;11067;Car;Dynamic;TotalSumInsured;true;bricks-and-clicks Cambridgeshire
7;93419;50943;50458;61538;91209;Marketing Beauty navigating;primary Regional Brazil;Section;true;capacitor
8;93869;49628;51314;26303;41175;auxiliary Michigan;Usability Engineer Shirt;Item;false;circuit redundant Intelligent
9;34044;27644;350;56992;73572;copying e-commerce;solutions;TotalSumInsured;false;17(E.U.A.-17) Table
10;29135;97771;99844;60560;15533;azure grey gold;Money solutions;Item;true;Shirt yellow CSS
