id;product_id;product_attr_id;attribute_name;attribute_value
1;67750;86337;Cambridgeshire turn-key;Human engineer
2;54670;27051;Creative system Lead;AGP Metal Factors
3;58348;87913;Avon Metrics;payment Supervisor
4;97433;19502;Tools;Danish Switchable
5;91322;96433;Bike;Loan IB
6;70682;16735;markets multi-state;Arab Health
7;89460;75443;Frozen Rustic Borders;Group cyan silver
8;18965;49639;Senior;Birr Computer
9;89960;29018;Metal Malawi;content-based Licensed
10;33333;15670;Chair interactive;Fish Checking
