id;product_id;rfq_id;item_name;sum_insured;currency
1;71982;2913;Quality;88137;Computers
2;18497;65907;Armenian;68212;Mozambique Ouguiya
3;3340;11823;Web;47847;white virtual COM
4;88332;12731;innovate;34411;Health implement
5;15253;43408;client-driven Checking Unions;61749;generating solutions
6;69367;84811;auxiliary Niue;83618;Idaho Incredible Customer
7;9035;32484;Handmade;4420;parsing Cambridgeshire monitor
8;50362;35992;Haiti Ports;90486;Shoes Sandwich infrastructures
9;42675;65229;Infrastructure scalable;48014;index Gorgeous Buckinghamshire
10;2098;9062;sexy Argentina;94878;Baby lime Loan
