id;product_id;rfq_id;item_name;sum_insured;currency
1;6666;88875;Brand;51973;standardization
2;60383;94169;Upgradable;71364;Bike Practical deposit
3;518;40701;Automotive Identity;6624;Fantastic niches
4;10735;80057;Soft;56853;South impactful payment
5;64006;46033;index transmitting mobile;68694;Ball
6;73133;88348;Cambridgeshire Loaf;12895;Texas invoice
7;98724;93038;virtual;79935;Avon
8;5682;46423;Concrete;86833;B2B silver sky
9;94453;91653;SMS Zealand;48339;Ergonomic Dollar grey
10;99687;82844;Awesome Agent reinvent;77109;sticky Cotton Account
