id;section_name;sum_insured;currency;rfq_id;section_id;turn_over;max_per_time
1;Tasty synthesizing wireless;46887;alliance program bandwidth;67321;21907;26169;51220
2;Moldova Handmade Shoes;53474;throughput Bhutan;70009;84656;78618;45039
3;Refined lavender;90444;visionary;81471;54733;57193;54104
4;Licensed;39390;invoice Outdoors;58124;69518;65819;10797
5;Mouse Handcrafted;65141;deliver;96494;26262;68972;97786
6;Gorgeous Dakota;32915;Investment parallelism;26728;36529;79674;27983
7;user-facing Operations;27382;Cambridgeshire Overpass Engineer;19883;17287;45405;43847
8;niches needs-based Buckinghamshire;90201;parsing Pizza;31131;56012;95859;26002
9;Republic;78381;Salvador Research schemas;65789;89248;53737;59560
10;Intelligent Fantastic service-desk;42618;e-business;85788;73220;20012;88758
