id;sum_insured;name;currency;description
1;10912;parse Buckinghamshire Alabama;calculate ivory cultivate;Wooden plug-and-play
2;51663;Computer;synergies Somalia;Tools
3;70376;eyeballs;Kwanza;New Architect Ergonomic
4;85214;Georgia Buckinghamshire;AI;Regional
5;2655;modular;multi-byte Greens Frozen;monitor
6;64604;Developer mobile Buckinghamshire;Investor Emirates International;Car
7;57302;website;Solutions utilisation sensor;iterate
8;31779;Practical copying;TCP Chief;Gorgeous Mountains
9;40336;override mindshare calculate;National;Loan systems
10;81954;sensor compress whiteboard;grow Rufiyaa;Cambridgeshire
