id;quotation_id;requested_by;request_date;response_date;nace_code;data_score_sheet_path;risk_survey_report_path
1;53109;bypassing;2021-05-04;2021-05-05;Kansas Guadeloupe Shirt;ADP;Internal
2;73205;unleash payment;2021-05-04;2021-05-05;models;Rico;Wyoming
3;20489;Montenegro Savings;2021-05-05;2021-05-04;incubate Plastic SDD;Direct;incentivize digital Group
4;10402;Concrete Cheese;2021-05-05;2021-05-05;HDD leading standardization;mission-critical harness;Baby
5;75779;strategize Gorgeous Fully-configurable;2021-05-04;2021-05-05;encoding Unit neural;Borders;challenge virtual
6;25652;Direct reciprocal back;2021-05-05;2021-05-05;Integrated Strategist Auto;Generic;gold
7;44823;Awesome matrix;2021-05-04;2021-05-05;Litas XSS;connect;Square TCP
8;20203;Rubber;2021-05-04;2021-05-05;SAS Branding parse;Universal program;override
9;78815;IB Republic Tuna;2021-05-05;2021-05-05;Data application framework;Rustic;Accountability Unions
10;66151;Plastic Account;2021-05-04;2021-05-04;Innovative Ergonomic;portals;up
